Name,chrom,strand,tss,l2_FLvsAD,l2_ADvsFL,cE,tE,cW,tW,cY,tY,pE,pW,pY
Mrpl30,chr1,+,37890476,,-0.807952293411408,83,297,45,382,60,249,0.218421052631579,0.131578947368421,0.194174757281553
Aff3,chr1,-,38627243,-0.804899462616675,2.73226104712,20,18,18,13,18,17,0.526315789473684,0.5,0.514285714285714
Lonrf2,chr1,-,38836686,,7.80754061105,40,96,38,230,43,158,0.294117647058824,0.283582089552239,0.213930348258706
Chst10,chr1,-,38898159,,2.47983416519,0,13,1,9,0,0,0,0.0714285714285714,
Npas2,chr1,+,39194271,-1.94920221553228,8.30738279694,1,14,1,5,1,11,0.0666666666666667,0.0666666666666667,0.0833333333333333
Rnf149,chr1,-,39577346,,-0.811355527705234,23,170,30,158,35,206,0.119170984455959,0.15,0.145228215767635
Rfx8,chr1,-,39720988,4.61231235176,,130,66,87,31,122,24,0.663265306122449,0.568627450980392,0.835616438356164
Il1r2,chr1,+,40084713,-2.15335100373328,,35,35,38,29,31,45,0.5,0.520547945205479,0.407894736842105
Il1r1,chr1,+,40225079,-2.34935705091855,2.45013083123,67,57,48,53,22,81,0.540322580645161,0.457142857142857,0.213592233009709
Il1rl1,chr1,+,40429569,,-2.08957814681221,141,16,130,22,133,17,0.898089171974522,0.89041095890411,0.886666666666667
Il18r1,chr1,+,40465551,-3.74715613881022,4.52998321799,55,18,46,58,45,33,0.753424657534247,0.71875,0.576923076923077
Il18rap,chr1,+,40515361,-0.487772528159109,,67,62,49,70,40,75,0.51937984496124,0.441441441441441,0.347826086956522
Slc9a2,chr1,+,40681711,,7.26712319549,0,23,0,23,0,44,0,0,0
Mfsd9,chr1,-,40790656,0.67403688926,,77,58,81,64,65,47,0.57037037037037,0.58273381294964,0.580357142857143
Nck2,chr1,+,43445750,,-0.687415741407207,4,63,3,36,1,47,0.0597014925373134,0.0454545454545455,0.0208333333333333
Uxs1,chr1,-,43827838,-0.605666164227772,,51,149,54,100,40,121,0.255,0.266009852216749,0.248447204968944
Bivm,chr1,+,44118956,-0.675031072986243,,2,93,4,84,1,81,0.0210526315789474,0.0412371134020619,0.0121951219512195
Gulp1,chr1,+,44551670,-0.793601061349199,,0,40,0,47,0,65,0,0,0
Slc40a1,chr1,-,45925593,2.5874616826,-3.90455622933372,83,60,107,39,117,50,0.58041958041958,0.640718562874252,0.70059880239521
Dnah7b,chr1,+,46066852,2.14830827416,,5,38,10,59,8,48,0.116279069767442,0.208333333333333,0.142857142857143
Slc39a10,chr1,-,46925775,-0.781877293977383,,22,2,30,1,23,2,0.916666666666667,0.9375,0.92
Myo1b,chr1,-,51915977,,-3.1333518117983,54,10,21,1,59,1,0.84375,0.67741935483871,0.983333333333333
Stat4,chr1,+,51987147,,0.862157526865,185,20,131,4,135,13,0.902439024390244,0.867549668874172,0.912162162162162
Stat1,chr1,+,52119437,-0.36348253920952,0.91844211614,114,182,113,153,50,164,0.385135135135135,0.383050847457627,0.233644859813084
Nab1,chr1,-,52500447,-0.321198585380592,0.833278998928,9,189,4,96,4,184,0.0454545454545455,0.0207253886010363,0.0212765957446809
Mfsd6,chr1,-,52727357,-0.570323421204457,1.41198599655,143,90,105,64,135,96,0.613733905579399,0.538461538461538,0.584415584415584
Hibch,chr1,+,52845037,-0.428529694158193,0.782821485689,50,231,45,218,38,183,0.177935943060498,0.16304347826087,0.171945701357466
Hecw2,chr1,-,54195033,4.36925399109,,23,67,22,121,27,112,0.255555555555556,0.247191011235955,0.194244604316547
Ccdc150,chr1,+,54250682,1.51364200788,,175,64,186,46,174,65,0.732217573221757,0.744,0.728033472803347
Hspe1,chr1,+,55088147,0.426246137984,-1.36251298477294,5,155,3,73,1,178,0.03125,0.0189873417721519,0.00558659217877095
Hspd1,chr1,-,55088242,,-1.23150017768756,7,179,3,90,2,194,0.0376344086021505,0.0164835164835165,0.0102040816326531
Rftn2,chr1,-,55226781,2.76755961883,,32,96,83,129,63,159,0.25,0.463687150837989,0.283783783783784
Plcl1,chr1,+,55405945,2.20215530474,,9,157,11,23,9,131,0.0542168674698795,0.0654761904761905,0.0642857142857143
Satb2,chr1,-,56980247,1.56280833086,,1,47,1,48,0,35,0.0208333333333333,0.0208333333333333,0
1700066M21Rik,chr1,+,57377619,-0.569526694870191,,100,80,58,69,111,90,0.555555555555556,0.420289855072464,0.552238805970149
Spats2l,chr1,+,57774860,2.63996762844,,21,80,44,100,43,65,0.207920792079208,0.354838709677419,0.398148148148148
Aox2,chr1,+,58278325,4.29762730502,,152,15,140,10,115,5,0.910179640718563,0.903225806451613,0.958333333333333
Clk1,chr1,-,58424087,0.724423089185,,10,14,10,28,12,29,0.416666666666667,0.416666666666667,0.292682926829268
Fam126b,chr1,-,58586332,0.343783336234,,33,196,39,245,31,230,0.14410480349345,0.165957446808511,0.118773946360153
Cflar,chr1,+,58711490,,0.734305824733,41,172,19,117,26,160,0.192488262910798,0.0994764397905759,0.139784946236559
Trak2,chr1,-,58973481,0.39100858403,,19,148,10,156,18,160,0.11377245508982,0.0632911392405063,0.101123595505618
Als2,chr1,-,59237230,,-0.667937434212645,2,93,2,133,2,107,0.0210526315789474,0.0210526315789474,0.018348623853211
Gm973,chr1,+,59516263,3.52020483783,1.43869238962,47,88,91,30,85,42,0.348148148148148,0.508379888268156,0.669291338582677
Sumo1,chr1,-,59670833,,-0.5274997609591,5,80,4,72,2,56,0.0588235294117647,0.0476190476190476,0.0344827586206897
Bmpr2,chr1,+,59764278,,0.80138832153,2,44,0,50,1,66,0.0434782608695652,0,0.0149253731343284
Ica1l,chr1,-,60043121,3.94333700824,,30,63,32,49,35,46,0.32258064516129,0.336842105263158,0.432098765432099
Wdr12,chr1,-,60098499,,-0.67269496173743,24,363,14,261,9,336,0.062015503875969,0.0371352785145889,0.0260869565217391
Nbeal1,chr1,+,60180598,,1.56218174159,43,131,34,136,19,138,0.247126436781609,0.206060606060606,0.121019108280255
Abi2,chr1,+,60409618,,0.73611581665,46,97,18,92,6,109,0.321678321678322,0.156521739130435,0.0521739130434783
Raph1,chr1,-,60566764,,-1.79182284409041,23,52,18,87,12,39,0.306666666666667,0.257142857142857,0.235294117647059
Cd28,chr1,+,60746387,-3.40556019118272,,65,68,45,81,59,53,0.488721804511278,0.398230088495575,0.526785714285714
Icos,chr1,+,60977913,3.34880462193,,135,75,170,57,136,47,0.642857142857143,0.693877551020408,0.743169398907104
Pard3b,chr1,+,61638823,,1.30276833581,81,20,86,31,79,43,0.801980198019802,0.811320754716981,0.647540983606557
Nrp2,chr1,+,62703316,2.25505575579,,13,66,6,73,12,61,0.164556962025316,0.0833333333333333,0.164383561643836
Zdbf2,chr1,+,63200357,8.57905554377,-3.57600524276029,715,21,511,11,511,11,0.971467391304348,0.960526315789474,0.978927203065134
Unc80,chr1,+,66467933,3.57925093309,,0,6,2,32,8,24,0,0.25,0.25
Kansl1l,chr1,-,66817594,,1.57118312077,0,11,1,10,0,9,0,0.0833333333333333,0
Acadl,chr1,-,66863308,-1.16769454081963,,16,99,17,92,5,114,0.139130434782609,0.146551724137931,0.0420168067226891
Cps1,chr1,+,67123026,4.20120668458,,47,18,25,6,67,29,0.723076923076923,0.581395348837209,0.697916666666667
Ikzf2,chr1,-,69685959,1.58715158171,,0,65,0,45,0,55,0,0,0
Spag16,chr1,+,69826969,4.19281779465,,104,114,85,93,71,114,0.477064220183486,0.42713567839196,0.383783783783784
Bard1,chr1,-,71102971,,-0.872526612461686,2,47,0,45,0,52,0.0408163265306122,0,0
Abca12,chr1,-,71414909,5.14563889263,,78,3,158,7,149,3,0.962962962962963,0.981366459627329,0.980263157894737
Atic,chr1,+,71557155,,-0.698471308086766,0,47,2,39,0,23,0,0.0408163265306122,0
Fn1,chr1,-,71653233,2.52380507474,-1.66908424180364,1,57,3,50,0,74,0.0172413793103448,0.05,0
Tns1,chr1,-,74124547,,1.1875817037,6,7,5,5,2,8,0.461538461538462,0.416666666666667,0.2
Cxcr2,chr1,+,74153993,2.4972071456,-1.96154781239943,44,28,52,29,12,15,0.611111111111111,0.65,0.444444444444444
Pnkd,chr1,+,74285033,0.495276371864,-0.813258260052311,1,41,3,71,1,60,0.0238095238095238,0.0681818181818182,0.0163934426229508
Tmbim1,chr1,-,74304335,-0.590308608756987,0.724837084413,56,116,50,88,49,139,0.325581395348837,0.301204819277108,0.26063829787234
Catip,chr1,+,74362134,3.01637593851,,24,3,23,1,45,3,0.888888888888889,0.884615384615385,0.9375
Slc11a1,chr1,+,74375202,3.3348527757,-5.95275835110283,129,7,121,3,102,5,0.948529411764706,0.9453125,0.953271028037383
Cyp27a1,chr1,+,74713534,3.39459978503,,71,205,73,187,58,213,0.257246376811594,0.262589928057554,0.214022140221402
Prkag3,chr1,-,74748954,3.78593366327,,45,17,45,8,49,16,0.725806451612903,0.725806451612903,0.753846153846154
Abcb6,chr1,-,75180391,,-1.05040730419606,0,54,3,62,0,70,0,0.0526315789473684,0
Glb1l,chr1,-,75210754,-0.365706224813717,1.11426044853,61,45,51,29,53,46,0.575471698113208,0.53125,0.535353535353535
Tuba4a,chr1,-,75219293,-0.63370356522671,,21,169,12,64,19,163,0.110526315789474,0.0662983425414365,0.104395604395604
Dnajb2,chr1,+,75236422,-0.623535042794787,,83,38,86,28,85,55,0.685950413223141,0.693548387096774,0.607142857142857
Dnpep,chr1,-,75317636,-0.359801129511245,,12,112,13,103,7,73,0.0967741935483871,0.104,0.0875
Speg,chr1,+,75375296,1.20063473581,,10,1,8,1,13,2,0.909090909090909,0.888888888888889,0.866666666666667
Chpf,chr1,-,75479470,1.95879856476,,1,29,0,8,0,23,0.0333333333333333,0,0
Obsl1,chr1,-,75506451,3.30234400332,,26,118,33,108,27,81,0.180555555555556,0.218543046357616,0.25
Inha,chr1,+,75507076,3.27477309493,1.7922691092,56,4,62,2,37,4,0.933333333333333,0.939393939393939,0.902439024390244
Stk11ip,chr1,+,75521528,0.557483639932,,60,57,38,55,53,19,0.512820512820513,0.4,0.736111111111111
Slc4a3,chr1,+,75546265,,2.40402821852,68,8,105,19,115,10,0.894736842105263,0.929203539823009,0.92
Epha4,chr1,-,77515087,4.57494787891,,0,105,2,77,1,75,0,0.0186915887850467,0.0131578947368421
Farsb,chr1,-,78488896,,-0.769490488670795,0,18,0,21,1,18,0,0,0.0526315789473684
Acsl3,chr1,+,78657824,-0.747157443341882,,9,71,7,117,9,75,0.1125,0.0897435897435897,0.107142857142857
Wdfy1,chr1,-,79761768,-1.14247161194052,0.807941052263,10,151,7,223,7,230,0.062111801242236,0.0443037974683544,0.029535864978903
Serpine2,chr1,-,79858664,-2.15271705943841,2.35511828536,17,49,11,44,30,33,0.257575757575758,0.183333333333333,0.476190476190476
Dock10,chr1,-,80758552,-1.07378856955098,0.78924849922,30,32,16,21,16,22,0.483870967741936,0.333333333333333,0.421052631578947
Rhbdd1,chr1,+,82316578,-0.951105166698076,,20,16,16,10,13,10,0.555555555555556,0.5,0.565217391304348
A530032D15Rik,chr1,-,85109852,,8.68459235935,1700,701,1803,745,1911,830,0.708038317367763,0.720047923322684,0.697190806275082
Sp140,chr1,+,85600702,,0.952945644458,2454,643,2500,735,2535,780,0.792379722311915,0.795418390073179,0.764705882352941
Sp110,chr1,-,85603890,,0.562369315803,1147,295,1255,290,1195,290,0.795423023578363,0.809677419354839,0.804713804713805
Sp100,chr1,+,85649987,-0.942967698165543,2.11898108778,308,108,178,115,219,163,0.740384615384615,0.622377622377622,0.573298429319372
Itm2c,chr1,+,85894509,-1.18690327355209,,131,20,123,11,149,8,0.867549668874172,0.86013986013986,0.949044585987261
Psmd1,chr1,+,86064618,-0.366283286128457,,84,137,82,175,94,118,0.380090497737557,0.374429223744292,0.443396226415094
Armc9,chr1,+,86154779,0.787008009784,,50,178,42,154,37,100,0.219298245614035,0.190909090909091,0.27007299270073
B3gnt7,chr1,+,86303220,1.10478674062,-1.88799473167089,108,64,89,32,116,32,0.627906976744186,0.581699346405229,0.783783783783784
Eif4e2,chr1,+,87213910,,-0.703426876743965,2,14,0,13,0,13,0.125,0,0
Usp40,chr1,-,88008550,-0.531489210489336,,85,19,79,39,69,22,0.817307692307692,0.806122448979592,0.758241758241758
Ugt1a10,chr1,+,88055410,-1.06138697452843,,90,19,70,17,76,17,0.825688073394496,0.786516853932584,0.817204301075269
Ugt1a9,chr1,+,88070778,-1.07535297122095,,136,11,124,15,144,13,0.925170068027211,0.918518518518519,0.917197452229299
Ugt1a7c,chr1,+,88095000,-1.08130104557846,,69,92,39,100,102,93,0.428571428571429,0.297709923664122,0.523076923076923
Ugt1a6a,chr1,+,88134808,-1.07914431880219,,26,59,33,36,25,48,0.305882352941177,0.358695652173913,0.342465753424658
Ugt1a5,chr1,+,88166011,-1.07318345099026,,86,1,54,2,68,4,0.988505747126437,0.981818181818182,0.944444444444444
Ugt1a2,chr1,+,88200610,-1.07609373535757,,80,4,62,1,78,4,0.952380952380952,0.939393939393939,0.951219512195122
Dnajb3,chr1,-,88205747,1.43089942054,,163,39,125,11,167,25,0.806930693069307,0.76219512195122,0.869791666666667
Ugt1a1,chr1,+,88211958,-1.06283704035877,,2261,881,2214,782,2317,837,0.719605346912795,0.715347334410339,0.734622701331642
6430706D22Rik,chr1,-,88269407,-0.292854503806939,,1967,255,1901,250,2067,296,0.885238523852385,0.881725417439703,0.874735505713077
Trpm8,chr1,+,88306734,5.4301438517,,1204,519,1197,479,1142,433,0.698781195589089,0.697552447552448,0.725079365079365
Agap1,chr1,+,89454810,0.659472816126,,0,84,0,85,0,56,0,0,0
4933400F21Rik,chr1,-,89683891,4.86696652591,,60,1,64,1,57,0,0.983606557377049,0.984615384615385,1
Mlph,chr1,+,90915099,-3.80736828803594,6.52753974283,9,3,12,0,13,2,0.75,0.8,0.866666666666667
Rab17,chr1,-,90969619,-1.2842435585741,,52,9,35,12,36,13,0.852459016393443,0.795454545454545,0.73469387755102
Lrrfip1,chr1,+,90998726,,0.864726380057,18,151,5,140,1,113,0.106508875739645,0.0320512820512821,0.0087719298245614
Rbm44,chr1,+,91145102,0.749638399374,,440,43,441,23,411,12,0.910973084886128,0.911157024793388,0.971631205673759
Ramp1,chr1,+,91179821,,0.80825841201,17,50,14,67,3,64,0.253731343283582,0.21875,0.0447761194029851
Scly,chr1,+,91298337,-0.869471559703383,,71,222,54,305,27,314,0.242320819112628,0.195652173913043,0.0791788856304985
1700020N18Rik,chr1,-,91406028,,3.35346078235,164,40,53,3,125,48,0.803921568627451,0.56989247311828,0.722543352601156
Per2,chr1,-,91459327,0.893396875285,,0,107,0,209,0,166,0,0,0
Ndufa10,chr1,-,92473757,,-0.670018638243943,58,129,52,118,81,113,0.310160427807487,0.287292817679558,0.417525773195876
Gpr35,chr1,+,92973118,1.76250892433,,13,6,3,8,26,6,0.68421052631579,0.333333333333333,0.8125
Sned1,chr1,+,93235896,4.33922779021,,9,13,15,10,4,8,0.409090909090909,0.535714285714286,0.333333333333333
Pask,chr1,-,93342787,,-1.05903830352967,33,87,11,85,15,64,0.275,0.112244897959184,0.189873417721519
Hdlbp,chr1,-,93478916,-0.520333941499543,-0.479525966702764,0,7,0,8,0,12,0,0,0
Bok,chr1,+,93685574,,-1.7079302380019,6,70,10,77,9,32,0.0789473684210526,0.125,0.219512195121951
Slco4c1,chr1,-,96872170,4.62545937777,,10,20,11,27,12,20,0.333333333333333,0.354838709677419,0.375
Pam,chr1,-,98095645,0.400678011881,,2,47,2,90,0,77,0.0408163265306122,0.0408163265306122,0
1810006J02Rik,chr1,+,98131466,1.80880630558,-6.97310157508188,61,13,110,33,72,31,0.824324324324324,0.894308943089431,0.699029126213592
Pign,chr1,-,105663675,-0.505868881858875,0.964479142382,17,65,34,78,21,88,0.207317073170732,0.343434343434343,0.192660550458716
Tnfrsf11a,chr1,+,105780722,-1.21482151021243,,124,96,129,134,130,52,0.563636363636364,0.573333333333333,0.714285714285714
Bcl2,chr1,-,106714289,-2.5261714934492,2.18997707211,15,94,12,76,12,78,0.137614678899083,0.113207547169811,0.133333333333333
Kdsr,chr1,-,106759741,-0.713794266211786,0.873493740425,2,52,1,16,0,43,0.037037037037037,0.0188679245283019,0
Serpinb8,chr1,+,107590005,-3.23980539887053,1.89792544491,56,53,37,31,44,68,0.513761467889908,0.411111111111111,0.392857142857143
Dsel,chr1,-,111864917,-0.640218532894167,1.3956080754,11,49,11,39,10,25,0.183333333333333,0.183333333333333,0.285714285714286
Gli2,chr1,-,119053618,6.26868915746,-1.96721524526764,0,75,4,57,2,87,0,0.0506329113924051,0.0224719101123596
Tmem37,chr1,-,120073779,-1.14328499435161,,39,165,36,161,8,112,0.191176470588235,0.17910447761194,0.0666666666666667
Dbi,chr1,-,120121095,-0.683754348950235,,27,132,13,169,23,137,0.169811320754717,0.0896551724137931,0.14375
Steap3,chr1,-,120271079,,-2.28885518136728,55,10,62,9,47,8,0.846153846153846,0.861111111111111,0.854545454545455
Marco,chr1,-,120505023,7.46656499887,-10.0233285052641,11,1,17,2,30,3,0.916666666666667,0.944444444444444,0.909090909090909
Ccdc93,chr1,+,121431066,-0.598834748548883,,3,101,1,86,1,43,0.0288461538461538,0.00980392156862745,0.0227272727272727
Ddx18,chr1,-,121567979,,-0.722413892229522,31,49,52,63,44,44,0.3875,0.514851485148515,0.5
Dpp10,chr1,-,124045558,4.72529060724,,1,8,6,49,3,66,0.111111111111111,0.428571428571429,0.0434782608695652
Slc35f5,chr1,+,125560594,-0.730156596746323,,27,142,24,113,13,180,0.159763313609467,0.144578313253012,0.0673575129533679
Mgat5,chr1,+,127204985,-0.980885564169378,1.36088406846,51,215,34,133,39,263,0.191729323308271,0.136546184738956,0.129139072847682
Acmsd,chr1,+,127729412,4.47869112054,-2.96575425243104,59,2,66,0,68,2,0.967213114754098,0.970588235294118,0.971428571428571
Ubxn4,chr1,+,128244136,-0.370913073606048,,27,83,30,111,26,89,0.245454545454545,0.265486725663717,0.226086956521739
Cxcr4,chr1,-,128592298,,0.765913947518,3,145,2,159,7,160,0.0202702702702703,0.0136054421768707,0.0419161676646707
Pfkfb2,chr1,-,130729252,,1.29588502817,96,11,98,9,97,24,0.897196261682243,0.89908256880734,0.801652892561983
Mapkapk2,chr1,-,131097842,-0.471976806935028,,41,52,42,51,34,48,0.440860215053763,0.446808510638298,0.414634146341463
Ikbke,chr1,-,131279562,,0.959410010462,13,21,3,22,5,30,0.382352941176471,0.125,0.142857142857143
Srgap2,chr1,-,131527360,-0.749337582713106,,1,290,0,249,1,296,0.00343642611683849,0,0.00336700336700337
Ctse,chr1,+,131638313,-2.37939156013171,,97,144,51,165,34,173,0.402489626556017,0.261538461538462,0.164251207729469
Slc26a9,chr1,+,131744021,2.43827133371,,47,20,54,28,31,26,0.701492537313433,0.72972972972973,0.543859649122807
Slc41a1,chr1,+,131828011,-0.446988471920642,0.859247612382,6,49,8,50,4,54,0.109090909090909,0.140350877192982,0.0689655172413793
Elk4,chr1,+,132007619,,0.72676418431,32,124,33,120,45,102,0.205128205128205,0.210191082802548,0.306122448979592
Nuak2,chr1,+,132316124,-2.17076678385909,1.64616683893,67,324,54,259,47,173,0.171355498721228,0.142857142857143,0.213636363636364
Tmcc2,chr1,-,132391385,1.69352183013,,3,6,4,9,3,5,0.333333333333333,0.4,0.375
Dstyk,chr1,+,132417452,0.48958367429,,60,103,36,121,29,81,0.368098159509202,0.258992805755396,0.263636363636364
Mdm4,chr1,-,133030586,,0.902566187629,61,2,56,1,62,0,0.968253968253968,0.96551724137931,1
Pik3c2b,chr1,+,133046011,,-0.724968039164826,1,59,2,54,0,32,0.0166666666666667,0.0327868852459016,0
Ppp1r15b,chr1,+,133131165,,-0.5887077762409,42,560,46,482,29,410,0.0697674418604651,0.0759075907590759,0.0660592255125285
Plekha6,chr1,+,133246096,-1.83182144324758,,28,17,28,5,30,13,0.622222222222222,0.622222222222222,0.697674418604651
Sox13,chr1,-,133424211,0.656178646647,,0,9,0,9,0,10,0,0,0
Snrpe,chr1,-,133610279,,-0.682836866255179,46,379,105,404,79,107,0.108235294117647,0.216942148760331,0.424731182795699
Zbed6,chr1,-,133660884,0.345236615675,,136,228,74,139,127,270,0.373626373626374,0.245033112582781,0.319899244332494
Zc3h11a,chr1,-,133661398,,0.692096136123,13,206,10,130,10,251,0.0593607305936073,0.0462962962962963,0.0383141762452107
Lax1,chr1,-,133690107,0.803331108046,,1,62,2,24,4,44,0.0158730158730159,0.03125,0.0833333333333333
Mir6903,chr1,-,133726644,0.990208696361,1.63791192874,51,1,66,5,59,1,0.980769230769231,0.985074626865672,0.983333333333333
Atp2b4,chr1,-,133753746,0.534379045077,1.55853268188,164,8,167,12,124,13,0.953488372093023,0.954285714285714,0.905109489051095
Prelp,chr1,-,133921400,,6.48709977104,45,22,38,26,26,52,0.671641791044776,0.633333333333333,0.333333333333333
Btg2,chr1,-,134079154,0.83199301183,,1,49,0,57,1,69,0.02,0,0.0142857142857143
Chil1,chr1,+,134182155,,-7.9989218399721,89,7,90,5,73,2,0.927083333333333,0.927835051546392,0.973333333333333
Ppfia4,chr1,-,134344715,1.63182907599,,34,26,29,32,47,25,0.566666666666667,0.527272727272727,0.652777777777778
Cyb5r1,chr1,+,134405780,-0.537728584490799,,0,125,0,63,2,97,0,0,0.0202020202020202
Kdm5b,chr1,+,134560177,1.11641912022,,50,128,61,142,51,76,0.280898876404494,0.322751322751323,0.401574803149606
Ppp1r12b,chr1,-,134955939,0.697818954097,,97,67,89,97,83,77,0.591463414634146,0.57051282051282,0.51875
Ptprv,chr1,-,135132574,-1.8373808496129,1.24757845564,0,3,0,15,1,10,0,0,0.0909090909090909
Rnpep,chr1,-,135284083,,-0.673799983417621,55,21,56,19,66,24,0.723684210526316,0.727272727272727,0.733333333333333
Timm17a,chr1,-,135313736,,-0.855528969896699,10,53,6,30,6,47,0.158730158730159,0.101694915254237,0.113207547169811
Phlda3,chr1,+,135766084,-1.91386045924681,-2.35766135192338,69,76,63,73,62,36,0.475862068965517,0.453237410071943,0.63265306122449
Tnni1,chr1,+,135799420,6.43827568695,,16,2,7,0,18,0,0.888888888888889,0.777777777777778,1
Tmem9,chr1,+,136008218,0.513082135646,,44,71,62,126,56,139,0.382608695652174,0.466165413533835,0.287179487179487
Cacna1s,chr1,+,136052810,3.94196642685,,13,3,28,5,19,1,0.8125,0.903225806451613,0.95
Kif21b,chr1,+,136131389,0.901108980227,,1,19,4,16,4,10,0.05,0.173913043478261,0.285714285714286
Camsap2,chr1,-,136346103,3.67170018357,-3.1217714060247,7,95,7,99,6,104,0.0686274509803922,0.0686274509803922,0.0545454545454545
9230116N13Rik,chr1,-,136415518,,1.3232213659,86,92,80,96,55,94,0.48314606741573,0.465116279069768,0.369127516778524
