chr	start	end	strand	pvalue	qvalue	meth.diff	target.row	dist.to.feature	feature.name	feature.strand	prom	exon	intron	CpGi	shores
chr4	147334474	147334474	+	0.0017082383021644	0.0216043123085198	29.9019607843137	9783	28872	NM_001384232.1	+	0	0	1	0	0
chr4	147720296	147720296	+	0.000617037671173404	0.00981368170288318	37.0231394621639	10335	-17666	NM_001127188.2	-	0	0	0	0	0
chr4	147744367	147744367	+	0.000303552163688136	0.00540937088319809	26.4455782312925	10415	-41737	NM_001127188.2	-	0	0	0	0	0
chr5	14990943	14990943	+	5.32589309886935e-05	0.00124003618306462	29.5499903431404	10608	-11989	XM_006503517.4	-	0	0	0	0	0
chr5	15003726	15003726	+	0.000174229758298326	0.00338514054706475	32.3696145124717	10629	-24772	XM_006503517.4	-	0	0	0	0	0
chr5	15011439	15011439	+	0.00339068656524931	0.0372732171467001	25.0232991612302	10651	21524	XM_030254767.1	-	0	0	0	0	0
chr5	15466653	15466653	+	2.59039189851148e-05	0.000668920539346201	30.6982872200263	10719	9884	NM_001374725.1	-	0	0	0	0	0
chr5	15483822	15483822	+	0.00354217177962311	0.0382341571964466	26.6409266409266	10732	-7287	NM_001374725.1	-	0	0	0	0	0
chr5	15588837	15588837	+	1.1857399858574e-09	1.15347545448632e-07	32.2599155343371	10781	11546	NM_001310450.2	+	0	0	1	0	0
chr5	15589806	15589806	+	9.35182985781773e-09	6.57532123621455e-07	40.1865671641791	10786	12515	NM_001310450.2	+	0	0	1	0	0
chr5	15612955	15612955	+	2.23481685470094e-07	1.06155499303718e-05	36.6881095663001	10858	-6144	NM_025759.3	+	0	0	1	0	0
chr5	15702986	15702986	+	0.000168150173009376	0.0032940566180884	29.2397660818713	10969	11286	NM_001281511.1	-	0	0	1	0	0
chr5	59954308	59954308	+	0.00326342494967432	0.0361259037686971	28.4324324324324	11096	31695	NR_040682.1	-	0	0	0	0	0
chr5	93623188	93623188	+	0.00326302468080739	0.0361259037686971	36.3636363636364	11391	48180	XM_006535030.2	-	0	0	0	0	0
chr5	94709477	94709477	+	0.000159947415587251	0.00315512433550459	35.6593406593407	11492	-68739	XM_017321259.1	+	0	0	0	0	0
chr5	145659871	145659871	+	0.00359895946562039	0.0386942011777494	28.1653746770026	11551	58139	XM_006504844.2	-	0	0	0	0	0
chr6	3180117	3180117	+	0.00119619280087961	0.0164624032136559	28.5714285714286	11595	-2999	XR_003956382.1	+	0	0	0	0	0
chr8	15519945	15519945	+	2.07323686103481e-07	1.00317317559442e-05	25.3722794959908	12371	-10456	XR_001778522.1	+	0	0	0	0	0
chr8	15519949	15519949	+	2.00640845333166e-10	2.24381669766648e-08	33.3649081900321	12373	-10452	XR_001778522.1	+	0	0	0	0	0
chr8	15519961	15519961	+	1.71309229757697e-06	6.23861094756297e-05	25.6958432521516	12375	-10440	XR_001778522.1	+	0	0	0	0	0
chr8	71849663	71849663	+	0.000279032969657675	0.00502922483267406	30.7692307692308	13982	8455	XM_011242348.3	-	0	0	1	0	0
chr9	3000987	3000987	+	0.000142973479578111	0.00286809793457735	28.5270629991127	14117	37757	NR_039546.1	-	0	0	0	0	0
chrX	31671155	31671155	+	0.00494073381661691	0.0491055947687552	25	16088	46081	XM_003688963.3	-	0	0	0	0	0
chrX	111017672	111017672	+	0.000719063064771539	0.0109772316734797	28	16246	-92746	NM_026134.3	+	0	0	0	0	0
chrY	90739663	90739663	+	0.00175192232039691	0.0220781498842954	34.7069597069597	16647	-3066	XM_030251621.1	+	0	0	0	0	1
