TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
mouse chr16 A1|16 4.37 cM	mouse chr16 A1|16 4.37 cM	0.00171874860845322	-6.36615880617694	1	1	0.00518134715025907	193	112291	69053	Hapstr1
mouse chr13 A3.1|13 10.5 cM	mouse chr13 A3.1|13 10.5 cM	0.00171874860845322	-6.36615880617694	1	1	0.00518134715025907	193	112291	193385	Ripor2
mouse chr15 E1|15 37.96 cM	mouse chr15 E1|15 37.96 cM	0.00171874860845322	-6.36615880617694	1	1	0.00518134715025907	193	112291	105835	Sgsm3
mouse chr16 C3.1|16 42.45 cM	mouse chr16 C3.1|16 42.45 cM	0.00171874860845322	-6.36615880617694	1	1	0.00518134715025907	193	112291	751561	Mir691
mouse chr11 A1|11 4.99 cM	mouse chr11 A1|11 4.99 cM	0.00171874860845322	-6.36615880617694	1	1	0.00518134715025907	193	112291	319939	Tns3
mouse chr12 A1.1|12 6.93 cM	mouse chr12 A1.1|12 6.93 cM	0.00171874860845322	-6.36615880617694	1	1	0.00518134715025907	193	112291	105005	Lratd1
mouse chr1 C1.1|1 26.13 cM	mouse chr1 C1.1|1 26.13 cM	0.00171874860845322	-6.36615880617694	1	1	0.00518134715025907	193	112291	20324	Cavin2
mouse chr8 B3.1|8 30.85 cM	mouse chr8 B3.1|8 30.85 cM	0.00171874860845322	-6.36615880617694	1	1	0.00518134715025907	193	112291	23923	Aadat
mouse chr1 E2.1|1 49.42 cM	mouse chr1 E2.1|1 49.42 cM	0.00171874860845322	-6.36615880617694	1	1	0.00518134715025907	193	112291	23836	Cdh20
mouse chr8 E1|8 72.0 cM	mouse chr8 E1|8 72.0 cM	0.00171874860845322	-6.36615880617694	1	1	0.00518134715025907	193	112291	77087	Ankrd11
mouse chr4 D3|4 69.36 cM	mouse chr4 D3|4 69.36 cM	0.00171874860845322	-6.36615880617694	1	1	0.00518134715025907	193	112291	102634021	Gm13001
mouse chr1 A1|1 1.6 cM	mouse chr1 A1|1 1.6 cM	0.00171874860845322	-6.36615880617694	1	1	0.00518134715025907	193	112291	497097	Xkr4
mouse chr4 B2|4 28.74 cM	mouse chr4 B2|4 28.74 cM	0.00171874860845322	-6.36615880617694	1	1	0.00518134715025907	193	112291	246179	Fktn
mouse chr12 C3|12 37.05 cM	mouse chr12 C3|12 37.05 cM	0.00171874860845322	-6.36615880617694	1	1	0.00518134715025907	193	112291	217684	Susd6
mouse chr12 E|12 51.16 cM	mouse chr12 E|12 51.16 cM	0.00171874860845322	-6.36615880617694	1	1	0.00518134715025907	193	112291	100316805	Mir1190
mouse chr10 A2|10 6.64 cM	mouse chr10 A2|10 6.64 cM	0.00171874860845322	-6.36615880617694	1	1	0.00518134715025907	193	112291	100504235	Gm20125
mouse chr7 E1|7 53.92 cM	mouse chr7 E1|7 53.92 cM	0.00171874860845322	-6.36615880617694	1	1	0.00518134715025907	193	112291	78610	Uvrag
mouse chr8 B1.1|8 24.81 cM	mouse chr8 B1.1|8 24.81 cM	0.00171874860845322	-6.36615880617694	1	1	0.00518134715025907	193	112291	14107	Fat1
mouse chr6 D1|6 42.7 cM	mouse chr6 D1|6 42.7 cM	0.00171874860845322	-6.36615880617694	1	1	0.00518134715025907	193	112291	14924	Magi1
mouse chr17 E5|17 61.17 cM	mouse chr17 E5|17 61.17 cM	0.00171874860845322	-6.36615880617694	1	1	0.00518134715025907	193	112291	76781	Mettl4
mouse chr4 B3|4 33.97 cM	mouse chr4 B3|4 33.97 cM	0.00171874860845322	-6.36615880617694	1	1	0.00518134715025907	193	112291	73750	Whrn
mouse chr6 B2.3|6 24.04 cM	mouse chr6 B2.3|6 24.04 cM	0.00171874860845322	-6.36615880617694	1	1	0.00518134715025907	193	112291	109648	Npy
mouse chr5 E1|5 42.85 cM	mouse chr5 E1|5 42.85 cM	0.00171874860845322	-6.36615880617694	1	1	0.00518134715025907	193	112291	67327	1700031L13Rik
mouse chr13 D2.2|13 63.1 cM	mouse chr13 D2.2|13 63.1 cM	0.00171874860845322	-6.36615880617694	1	1	0.00518134715025907	193	112291	238880	Actbl2
mouse chr8 B1.1|8 25.44 cM	mouse chr8 B1.1|8 25.44 cM	0.00171874860845322	-6.36615880617694	1	1	0.00518134715025907	193	112291	234214	Sorbs2
mouse chr3 G1|3 55.99 cM	mouse chr3 G1|3 55.99 cM	0.00171874860845322	-6.36615880617694	1	1	0.00518134715025907	193	112291	102639086	Gm15551
mouse chr9 F1|9 54.64 cM	mouse chr9 F1|9 54.64 cM	0.00171874860845322	-6.36615880617694	1	1	0.00518134715025907	193	112291	69010	Anapc13
mouse chr8 C5|8 45.21 cM	mouse chr8 C5|8 45.21 cM	0.00171874860845322	-6.36615880617694	1	1	0.00518134715025907	193	112291	234564	Ces1f
mouse chr9 E4|9 53.19 cM	mouse chr9 E4|9 53.19 cM	0.00171874860845322	-6.36615880617694	1	1	0.00518134715025907	193	112291	235542	Ppp2r3a
mouse chr13 A3.3|13 14.39 cM	mouse chr13 A3.3|13 14.39 cM	0.00171874860845322	-6.36615880617694	1	1	0.00518134715025907	193	112291	12593	Cdyl
mouse chr1 F|1 62.99 cM	mouse chr1 F|1 62.99 cM	0.00171874860845322	-6.36615880617694	1	1	0.00518134715025907	193	112291	64214	Rgs18
mouse chr11 E2|11 82.61 cM	mouse chr11 E2|11 82.61 cM	0.00171874860845322	-6.36615880617694	1	1	0.00518134715025907	193	112291	53860	Septin9
mouse chr12 D2|12 41.13 cM	mouse chr12 D2|12 41.13 cM	0.00171874860845322	-6.36615880617694	1	1	0.00518134715025907	193	112291	217732	Cipc
mouse chr10 A3|10 7.42 cM	mouse chr10 A3|10 7.42 cM	0.00171874860845322	-6.36615880617694	1	1	0.00518134715025907	193	112291	19707	Reps1
mouse chr3 G3|3 61.84 cM	mouse chr3 G3|3 61.84 cM	0.00171874860845322	-6.36615880617694	1	1	0.00518134715025907	193	112291	214133	Tet2
mouse chr18 E2|18 49.29 cM	mouse chr18 E2|18 49.29 cM	0.00171874860845322	-6.36615880617694	1	1	0.00518134715025907	193	112291	240396	Mex3c
mouse chr18 A1|18 5.21 cM	mouse chr18 A1|18 5.21 cM	0.00171874860845322	-6.36615880617694	1	1	0.00518134715025907	193	112291	77805	Esco1
mouse chr4 A1|4 2.54 cM	mouse chr4 A1|4 2.54 cM	0.00171874860845322	-6.36615880617694	1	1	0.00518134715025907	193	112291	622019	Gm11780
mouse chr12 A3|12 13.73 cM	mouse chr12 A3|12 13.73 cM	0.00171874860845322	-6.36615880617694	1	1	0.00518134715025907	193	112291	73389	Hbp1
mouse chr17 8.42 cM|17 A1	mouse chr17 8.42 cM|17 A1	0.00171874860845322	-6.36615880617694	1	1	0.00518134715025907	193	112291	26407	Map3k4
mouse chr13 A3.1|13 11.04 cM	mouse chr13 A3.1|13 11.04 cM	0.00171874860845322	-6.36615880617694	1	1	0.00518134715025907	193	112291	22360	Nrsn1
mouse chr4 E2|4 83.71 cM	mouse chr4 E2|4 83.71 cM	0.00171874860845322	-6.36615880617694	1	1	0.00518134715025907	193	112291	230959	Ajap1
mouse chr2 B|2 19.84 cM	mouse chr2 B|2 19.84 cM	0.00171874860845322	-6.36615880617694	1	1	0.00518134715025907	193	112291	68975	Med27
mouse chr10 A3|10 10.44 cM	mouse chr10 A3|10 10.44 cM	0.00171874860845322	-6.36615880617694	1	1	0.00518134715025907	193	112291	14051	Eya4
mouse chr4 D2.1|4 55.51 cM	mouse chr4 D2.1|4 55.51 cM	0.00171874860845322	-6.36615880617694	1	1	0.00518134715025907	193	112291	16656	Hivep3
mouse chr10 A1|10 3.15 cM	mouse chr10 A1|10 3.15 cM	0.00171874860845322	-6.36615880617694	1	1	0.00518134715025907	193	112291	320825	Samd5
mouse chr3 C|3 22.52 cM	mouse chr3 C|3 22.52 cM	0.00171874860845322	-6.36615880617694	1	1	0.00518134715025907	193	112291	211666	Mgst2
mouse chr11 E1|11 70.8 cM	mouse chr11 E1|11 70.8 cM	0.00171874860845322	-6.36615880617694	1	1	0.00518134715025907	193	112291	18750	Prkca
mouse chr5 G2|5 75.05 cM	mouse chr5 G2|5 75.05 cM	0.00171874860845322	-6.36615880617694	1	1	0.00518134715025907	193	112291	22385	Baz1b
mouse chr2 H1|2 75.95 cM	mouse chr2 H1|2 75.95 cM	0.00171874860845322	-6.36615880617694	1	1	0.00518134715025907	193	112291	13589	Mapre1
mouse chr13 A4|13 20.82 cM	mouse chr13 A4|13 20.82 cM	0.00171874860845322	-6.36615880617694	1	1	0.00518134715025907	193	112291	13614	Edn1
mouse chr3 E3|3 34.04 cM	mouse chr3 E3|3 34.04 cM	0.00171874860845322	-6.36615880617694	1	1	0.00518134715025907	193	112291	213262	Fstl5
mouse chr3 F2.2|3 42.42 cM	mouse chr3 F2.2|3 42.42 cM	0.00171874860845322	-6.36615880617694	1	1	0.00518134715025907	193	112291	18129	Notch2
mouse chr2 C1.1|2 28.74 cM	mouse chr2 C1.1|2 28.74 cM	0.00171874860845322	-6.36615880617694	1	1	0.00518134715025907	193	112291	71897	Lypd6b
mouse chr11 A4|11 21.71 cM	mouse chr11 A4|11 21.71 cM	0.00171874860845322	-6.36615880617694	1	1	0.00518134715025907	193	112291	723924	Mir218-2
mouse chr2 E5|2 60.59 cM	mouse chr2 E5|2 60.59 cM	0.00171874860845322	-6.36615880617694	1	1	0.00518134715025907	193	112291	20322	Sord
mouse chr11 A1|11 3.6 cM	mouse chr11 A1|11 3.6 cM	0.00171874860845322	-6.36615880617694	1	1	0.00518134715025907	193	112291	102639290	Gm11963
mouse chr8 D3|8 54.38 cM	mouse chr8 D3|8 54.38 cM	0.00171874860845322	-6.36615880617694	1	1	0.00518134715025907	193	112291	17463	Psmd7
mouse chr2 B|2 21.46 cM	mouse chr2 B|2 21.46 cM	0.00171874860845322	-6.36615880617694	1	1	0.00518134715025907	193	112291	227696	Phyhd1
mouse chr4 A1|4 4.66 cM	mouse chr4 A1|4 4.66 cM	0.00171874860845322	-6.36615880617694	1	1	0.00518134715025907	193	112291	73624	1700123O12Rik
mouse chr5 E1|5 44.5 cM	mouse chr5 E1|5 44.5 cM	0.00171874860845322	-6.36615880617694	1	1	0.00518134715025907	193	112291	791294	Gm9958
mouse chr4 C4|4 41.06 cM	mouse chr4 C4|4 41.06 cM	0.00171874860845322	-6.36615880617694	1	1	0.00518134715025907	193	112291	70122	Mllt3
mouse chr14 E3|14 56.78 cM	mouse chr14 E3|14 56.78 cM	0.00171874860845322	-6.36615880617694	1	1	0.00518134715025907	193	112291	76965	Slitrk1
mouse chr15 F2|15 57.29 cM	mouse chr15 F2|15 57.29 cM	0.00171874860845322	-6.36615880617694	1	1	0.00518134715025907	193	112291	209039	Tns2
mouse chr8 B1.3|8 29.14 cM	mouse chr8 B1.3|8 29.14 cM	0.00171874860845322	-6.36615880617694	1	1	0.00518134715025907	193	112291	234258	Neil3
mouse chr11 A4|11 18.77 cM	mouse chr11 A4|11 18.77 cM	0.00171874860845322	-6.36615880617694	1	1	0.00518134715025907	193	112291	104692	Gm12108
mouse chr16 B1|16 16.3 cM	mouse chr16 B1|16 16.3 cM	0.00171874860845322	-6.36615880617694	1	1	0.00518134715025907	193	112291	624582	Morf4l1-ps1
mouse chr5 B1|5 14.36 cM	mouse chr5 B1|5 14.36 cM	0.00171874860845322	-6.36615880617694	1	1	0.00518134715025907	193	112291	381626	Rbm33
mouse chr9 A4|9 11.49 cM	mouse chr9 A4|9 11.49 cM	0.00171874860845322	-6.36615880617694	1	1	0.00518134715025907	193	112291	76898	B3gat1
mouse chr16 B1|16 13.66 cM	mouse chr16 B1|16 13.66 cM	0.00171874860845322	-6.36615880617694	1	1	0.00518134715025907	193	112291	12970	Crygs
mouse chr3 C|3 21.72 cM	mouse chr3 C|3 21.72 cM	0.00171874860845322	-6.36615880617694	1	1	0.00518134715025907	193	112291	26570	Slc7a11
mouse chr13 A1|13 2.57 cM	mouse chr13 A1|13 2.57 cM	0.00171874860845322	-6.36615880617694	1	1	0.00518134715025907	193	112291	56043	Akr1e1
mouse chr13 D2.2|13 64.87 cM	mouse chr13 D2.2|13 64.87 cM	0.00171874860845322	-6.36615880617694	1	1	0.00518134715025907	193	112291	16392	Isl1
mouse chr1 C5|1 41.41 cM	mouse chr1 C5|1 41.41 cM	0.00171874860845322	-6.36615880617694	1	1	0.00518134715025907	193	112291	210293	Dock10
mouse chr10 C1|10 41.42 cM	mouse chr10 C1|10 41.42 cM	0.00171874860845322	-6.36615880617694	1	1	0.00518134715025907	193	112291	77976	Nuak1
mouse chr3 E1|3 32.19 cM	mouse chr3 E1|3 32.19 cM	0.00171874860845322	-6.36615880617694	1	1	0.00518134715025907	193	112291	381452	Gm1647
mouse chr2 F3|2 66.45 cM	mouse chr2 F3|2 66.45 cM	0.00171874860845322	-6.36615880617694	1	1	0.00518134715025907	193	112291	320684	9630028H03Rik
mouse chr6 E3|6 53.71 cM	mouse chr6 E3|6 53.71 cM	0.00171874860845322	-6.36615880617694	1	1	0.00518134715025907	193	112291	67088	Cand2
mouse chr4 D2.2|4 62.62 cM	mouse chr4 D2.2|4 62.62 cM	0.00171874860845322	-6.36615880617694	1	1	0.00518134715025907	193	112291	11637	Ak2
mouse chr6 B3|6 24.95 cM	mouse chr6 B3|6 24.95 cM	0.00171874860845322	-6.36615880617694	1	1	0.00518134715025907	193	112291	71982	Snx10
mouse chr19 D2|19 48.73 cM	mouse chr19 D2|19 48.73 cM	0.00171874860845322	-6.36615880617694	1	1	0.00518134715025907	193	112291	18569	Pdcd4
mouse chr14 C3|14 29.82 cM	mouse chr14 C3|14 29.82 cM	0.00171874860845322	-6.36615880617694	1	1	0.00518134715025907	193	112291	14611	Gja3
mouse chr15 E2|15 40.56 cM	mouse chr15 E2|15 40.56 cM	0.00171874860845322	-6.36615880617694	1	1	0.00518134715025907	193	112291	223754	Tbc1d22a
mouse chr15 D1|15 23.31 cM	mouse chr15 D1|15 23.31 cM	0.00171874860845322	-6.36615880617694	1	1	0.00518134715025907	193	112291	15117	Has2
mouse chr9 F1|9 56.79 cM	mouse chr9 F1|9 56.79 cM	0.00171874860845322	-6.36615880617694	1	1	0.00518134715025907	193	112291	75669	Pik3r4
mouse chr12 E|12 49.83 cM	mouse chr12 E|12 49.83 cM	0.00171874860845322	-6.36615880617694	1	1	0.00518134715025907	193	112291	14420	Galc
mouse chr11 40.59 cM|11 B3	mouse chr11 40.59 cM|11 B3	0.00171874860845322	-6.36615880617694	1	1	0.00518134715025907	193	112291	115487731	Gm12299
mouse chr18 C|18 24.45 cM	mouse chr18 C|18 24.45 cM	0.00171874860845322	-6.36615880617694	1	1	0.00518134715025907	193	112291	225467	Pggt1b
mouse chr9 A1|9 2.46 cM	mouse chr9 A1|9 2.46 cM	0.00241834043302649	-6.02467374553902	42	2	0.0103626943005181	193	112291	78100,234915	Msantd4,Cep126
mouse chr2 A3|2 16.88 cM	mouse chr2 A3|2 16.88 cM	0.00343455839990318	-5.67386692055239	2	1	0.00518134715025907	193	112291	241274	Pnpla7
mouse chr15 F1|15 56.37 cM	mouse chr15 F1|15 56.37 cM	0.00343455839990318	-5.67386692055239	2	1	0.00518134715025907	193	112291	207818	Smagp
mouse chr11 A3.2|11 14.42 cM	mouse chr11 A3.2|11 14.42 cM	0.00343455839990318	-5.67386692055239	2	1	0.00518134715025907	193	112291	78200	4930538E20Rik
mouse chr13 D1|13 56.92 cM	mouse chr13 D1|13 56.92 cM	0.00343455839990318	-5.67386692055239	2	1	0.00518134715025907	193	112291	15550	Htr1a
mouse chr17 8.95 cM|17 A2	mouse chr17 8.95 cM|17 A2	0.00343455839990318	-5.67386692055239	2	1	0.00518134715025907	193	112291	240025	Dact2
mouse chr1 C1.3|1 28.72 cM	mouse chr1 C1.3|1 28.72 cM	0.00343455839990318	-5.67386692055239	2	1	0.00518134715025907	193	112291	71066	Hsfy2
mouse chr19 C3|19 36.7 cM	mouse chr19 C3|19 36.7 cM	0.00343455839990318	-5.67386692055239	2	1	0.00518134715025907	193	112291	226144	Erlin1
mouse chr2 F1|2 63.32 cM	mouse chr2 F1|2 63.32 cM	0.00343455839990318	-5.67386692055239	2	1	0.00518134715025907	193	112291	51902	Rnf24
mouse chr12 C1|12 23.85 cM	mouse chr12 C1|12 23.85 cM	0.00343455839990318	-5.67386692055239	2	1	0.00518134715025907	193	112291	72658	2700097O09Rik
mouse chr13 A3.3|13 14.05 cM	mouse chr13 A3.3|13 14.05 cM	0.00343455839990318	-5.67386692055239	2	1	0.00518134715025907	193	112291	73102	Slc22a23
mouse chr1 A4|1 6.37 cM	mouse chr1 A4|1 6.37 cM	0.00343455839990318	-5.67386692055239	2	1	0.00518134715025907	193	112291	75028	4930486I03Rik
mouse chr2 B|2 20.76 cM	mouse chr2 B|2 20.76 cM	0.00343455839990318	-5.67386692055239	2	1	0.00518134715025907	193	112291	99151	Cercam
mouse chr4 D2.2|4 61.59 cM	mouse chr4 D2.2|4 61.59 cM	0.00343455839990318	-5.67386692055239	2	1	0.00518134715025907	193	112291	73488	1700080G11Rik
mouse chr3 G3|3 60.89 cM	mouse chr3 G3|3 60.89 cM	0.00343455839990318	-5.67386692055239	2	1	0.00518134715025907	193	112291	71519	Cyp2u1
mouse chr14 E4|14 60.34 cM	mouse chr14 E4|14 60.34 cM	0.00514743437358694	-5.26925686832535	3	1	0.00518134715025907	193	112291	23888	Gpc6
mouse chr12 A1.3|12 8.5 cM	mouse chr12 A1.3|12 8.5 cM	0.00514743437358694	-5.26925686832535	3	1	0.00518134715025907	193	112291	67216	Mboat2
mouse chr16|16 C2	mouse chr16|16 C2	0.00514743437358694	-5.26925686832535	3	1	0.00518134715025907	193	112291	78110	4930428D20Rik
mouse chr18 A1|18 5.88 cM	mouse chr18 A1|18 5.88 cM	0.00514743437358694	-5.26925686832535	3	1	0.00518134715025907	193	112291	63955	Cables1
mouse chr5 A1|5 2.61 cM	mouse chr5 A1|5 2.61 cM	0.00514743437358694	-5.26925686832535	3	1	0.00518134715025907	193	112291	18647	Cdk14
mouse chr18 E1|18 35.95 cM	mouse chr18 E1|18 35.95 cM	0.00514743437358694	-5.26925686832535	3	1	0.00518134715025907	193	112291	108123	Napg
mouse chr14 E2.1|14 45.8 cM	mouse chr14 E2.1|14 45.8 cM	0.00514743437358694	-5.26925686832535	3	1	0.00518134715025907	193	112291	211712	Pcdh9
mouse chr6 C1|6 31.46 cM	mouse chr6 C1|6 31.46 cM	0.00514743437358694	-5.26925686832535	3	1	0.00518134715025907	193	112291	19783	Rprl1
mouse chr2 E5|2 59.29 cM	mouse chr2 E5|2 59.29 cM	0.00514743437358694	-5.26925686832535	3	1	0.00518134715025907	193	112291	100504728	Gm13985
mouse chr16 A1|16 9.66 cM	mouse chr16 A1|16 9.66 cM	0.00514743437358694	-5.26925686832535	3	1	0.00518134715025907	193	112291	74482	Ifitm7
mouse chr2 C3|2 47.58 cM	mouse chr2 C3|2 47.58 cM	0.00514743437358694	-5.26925686832535	3	1	0.00518134715025907	193	112291	70599	Itprid2
mouse chr4	mouse chr4	0.00655108730616522	-5.02812424217035	3418	13	0.0673575129533679	193	112291	329872,11637,70122,75471,102634021,73488,73624,73750,76850,16656,246179,622019,230959	Frem1,Ak2,Mllt3,1700009N14Rik,Gm13001,1700080G11Rik,1700123O12Rik,Whrn,Ago4,Hivep3,Fktn,Gm11780,Ajap1
mouse chr18 E1|18 38.98 cM	mouse chr18 E1|18 38.98 cM	0.00685738151765054	-4.98242961307786	4	1	0.00518134715025907	193	112291	319888	Oacyl
mouse chr10 A1|10 1.85 cM	mouse chr10 A1|10 1.85 cM	0.00685738151765054	-4.98242961307786	4	1	0.00518134715025907	193	112291	215748	Cnksr3
mouse chr1|1 C1.1	mouse chr1|1 C1.1	0.00685738151765054	-4.98242961307786	4	1	0.00518134715025907	193	112291	102466969	Mir6350
mouse chr4 C3|4 39.4 cM	mouse chr4 C3|4 39.4 cM	0.00685738151765054	-4.98242961307786	4	1	0.00518134715025907	193	112291	329872	Frem1
mouse chr2 C1.3|2 35.56 cM	mouse chr2 C1.3|2 35.56 cM	0.00685738151765054	-4.98242961307786	4	1	0.00518134715025907	193	112291	21353	Tank
mouse chr7 F3|7 76.32 cM	mouse chr7 F3|7 76.32 cM	0.00685738151765054	-4.98242961307786	4	1	0.00518134715025907	193	112291	360216	Zranb1
mouse chr1	mouse chr1	0.00700690803344845	-4.96085875463371	3447	13	0.0673575129533679	193	112291	75028,210293,23836,497097,71066,20324,64214,14103,14645,78603,69941,75368,98267	4930486I03Rik,Dock10,Cdh20,Xkr4,Hsfy2,Cavin2,Rgs18,Fasl,Glul,B230216N24Rik,2810408I11Rik,4930558K02Rik,Stk17b
mouse chr3	mouse chr3	0.00841297099618609	-4.77798059791898	2748	11	0.0569948186528497	193	112291	26570,102639225,18129,381452,213262,211666,102632048,214133,71519,80877,102639086	Slc7a11,Gm35584,Notch2,Gm1647,Fstl5,Mgst2,Gm30223,Tet2,Cyp2u1,Lrba,Gm15551
mouse chr9|9 A2	mouse chr9|9 A2	0.00856440482129596	-4.76014063925327	5	1	0.00518134715025907	193	112291	78025	4930540M03Rik
mouse chr1 C2|1 32.74 cM	mouse chr1 C2|1 32.74 cM	0.00856440482129596	-4.76014063925327	5	1	0.00518134715025907	193	112291	69941	2810408I11Rik
mouse chr10 C1|10 38.58 cM	mouse chr10 C1|10 38.58 cM	0.00856440482129596	-4.76014063925327	5	1	0.00518134715025907	193	112291	14872	Gstt2
mouse chr12 C1|12 26.7 cM	mouse chr12 C1|12 26.7 cM	0.00856440482129596	-4.76014063925327	5	1	0.00518134715025907	193	112291	73309	Spanxn4
mouse chr8 B3.1|8 32.3 cM	mouse chr8 B3.1|8 32.3 cM	0.00856440482129596	-4.76014063925327	5	1	0.00518134715025907	193	112291	66234	Msmo1
mouse chr15 D2|15 29.44 cM	mouse chr15 D2|15 29.44 cM	0.00856440482129596	-4.76014063925327	5	1	0.00518134715025907	193	112291	380993	Zfat
mouse chr10 D2|10 72.31 cM	mouse chr10 D2|10 72.31 cM	0.0102685092493941	-4.57867342143037	6	1	0.00518134715025907	193	112291	75030	4930503E24Rik
mouse chr4 D2.2|4 60.9 cM	mouse chr4 D2.2|4 60.9 cM	0.0102685092493941	-4.57867342143037	6	1	0.00518134715025907	193	112291	76850	Ago4
mouse chr17 A1|17 7.8 cM	mouse chr17 A1|17 7.8 cM	0.0102685092493941	-4.57867342143037	6	1	0.00518134715025907	193	112291	102639427	Gm16169
mouse chr2 H3|2 91.91 cM	mouse chr2 H3|2 91.91 cM	0.0102685092493941	-4.57867342143037	6	1	0.00518134715025907	193	112291	102638221	Gm14637
mouse chr17	mouse chr17	0.0112987049953688	-4.48306716201092	2483	10	0.0518134715025907	193	112291	207819,22670,26407,106504,102639427,105246296,76781,240168,240025,224576	Bnip5,Trim26,Map3k4,Stk38,Gm16169,Gm41600,Mettl4,Rasgrp3,Dact2,Vmn2r106
mouse chr3|3 C	mouse chr3|3 C	0.0119696997752496	-4.42537684115958	7	1	0.00518134715025907	193	112291	101056032	Gm9831
mouse chr10|10 B2	mouse chr10|10 B2	0.0119696997752496	-4.42537684115958	7	1	0.00518134715025907	193	112291	71018	4933404K13Rik
mouse chr18|18 A2	mouse chr18|18 A2	0.0119696997752496	-4.42537684115958	7	1	0.00518134715025907	193	112291	320624	4930474G06Rik
mouse chr2 H1|2 77.89 cM	mouse chr2 H1|2 77.89 cM	0.0119696997752496	-4.42537684115958	7	1	0.00518134715025907	193	112291	66934	Dsn1
