rid	E18pt5_vs_2-year.hyper	E18pt5_vs_2-year.hypo	E18pt5_vs_Week4.hyper	E18pt5_vs_Week4.hypo	Week4_vs_2-year.hyper	Week4_vs_2-year.hypo
chr4:147772586-147772587	1	0	0	0	0	0
chr4:3086349-3086350	0	1	0	0	0	0
chr4:3091170-3091171	0	0	0	0	1	0
chr4:3225665-3225666	0	0	0	1	0	0
chr4:3253769-3253770	0	0	0	0	1	0
chr4:43788149-43788150	0	0	1	0	0	0
chr5:10245326-10245327	0	0	0	0	1	0
chr5:14903509-14903510	0	0	0	0	0	1
chr5:14903538-14903539	0	0	0	1	1	0
chr5:14924460-14924461	0	0	0	0	1	0
chr5:14933782-14933783	0	0	0	1	0	0
chr5:14954463-14954464	0	0	0	1	0	0
chr5:14963793-14963794	0	0	0	0	1	0
chr5:14971627-14971628	0	0	0	0	1	0
chr5:14973475-14973476	0	0	0	1	1	0
chr5:14973621-14973622	0	0	0	0	1	0
chr5:14978465-14978466	1	0	0	0	0	0
chr5:14989822-14989823	0	0	0	1	1	0
chr5:14989859-14989860	0	0	0	1	0	0
chr5:14994757-14994758	0	0	0	1	0	0
chr5:15000019-15000020	0	0	0	1	0	0
chr5:15003726-15003727	0	0	1	0	0	0
chr5:15005813-15005814	0	0	0	0	0	1
chr5:15005843-15005844	0	0	0	0	1	0
chr5:15011701-15011702	0	0	0	0	1	0
chr5:15011718-15011719	0	0	0	0	1	0
chr5:15011720-15011721	0	0	0	0	1	0
chr5:15019889-15019890	0	0	0	0	1	0
chr5:15020796-15020797	0	0	0	0	1	0
chr5:15022882-15022883	0	0	0	1	0	0
chr5:15023565-15023566	0	0	0	0	1	0
chr5:15037445-15037446	0	0	0	0	1	0
chr5:15041334-15041335	0	0	0	0	1	0
chr5:15043939-15043940	0	0	0	0	1	0
chr5:15051081-15051082	0	0	0	0	1	0
chr5:15061542-15061543	0	0	0	1	0	0
chr5:15462596-15462597	0	0	0	1	0	0
chr5:15466531-15466532	0	0	0	0	0	1
chr5:15466653-15466654	0	0	1	0	0	0
chr5:15498093-15498094	0	0	0	1	0	0
chr5:15508620-15508621	0	0	0	0	0	1
chr5:15510713-15510714	0	0	0	0	1	0
chr5:15588837-15588838	0	0	1	0	0	0
chr5:15589271-15589272	0	0	0	0	0	1
chr5:15589806-15589807	0	0	1	0	0	1
chr5:15595027-15595028	1	0	0	0	1	0
chr5:15600528-15600529	0	1	0	0	0	0
chr5:15602247-15602248	0	0	0	0	1	0
chr5:15602546-15602547	0	0	0	0	1	0
chr5:15604032-15604033	0	0	0	1	0	0
chr5:15610155-15610156	0	0	0	1	1	0
chr5:15612955-15612956	0	0	1	0	0	0
chr5:15624748-15624749	1	0	0	0	1	0
chr5:15630437-15630438	0	0	0	0	0	1
chr5:15631475-15631476	0	0	0	1	0	0
chr5:15632316-15632317	0	0	0	0	1	0
chr5:15644550-15644551	0	0	0	0	0	1
chr5:15678769-15678770	0	0	0	0	1	0
chr5:15680104-15680105	0	0	0	1	0	0
chr5:15680579-15680580	0	0	0	0	1	0
chr5:15680643-15680644	0	0	0	1	1	0
chr5:15680646-15680647	0	0	0	0	1	0
chr5:15687370-15687371	0	0	0	0	1	0
chr5:15689588-15689589	0	0	0	0	1	0
chr5:15693414-15693415	0	0	0	0	1	0
chr5:15696419-15696420	0	0	0	0	1	0
chr5:15709425-15709426	0	0	0	1	0	0
chr5:21661677-21661678	1	0	0	0	0	0
chr5:25938626-25938627	1	0	0	0	0	0
chr5:32739321-32739322	0	1	0	0	0	0
chr5:32739333-32739334	0	1	0	0	0	0
chr5:32739345-32739346	0	1	0	1	0	0
chr5:86219539-86219540	1	0	0	0	0	0
chr5:93493871-93493872	0	1	0	0	0	0
chr5:93652624-93652625	1	0	0	0	0	0
chr5:93657435-93657436	1	0	0	0	1	0
chr5:93662483-93662484	1	0	0	0	1	0
chr5:93662653-93662654	1	0	0	0	1	0
chr5:93663132-93663133	1	0	0	0	0	0
chr5:93700244-93700245	1	0	0	0	0	0
chr6:121571776-121571777	0	0	1	0	0	0
chr6:147078516-147078517	0	1	0	0	0	0
chr6:3183151-3183152	1	0	0	0	1	0
chr6:3235628-3235629	0	0	0	0	1	0
chr6:47744008-47744009	1	0	1	0	0	0
chr6:47753401-47753402	1	0	0	0	1	0
chr6:49495463-49495464	0	0	0	0	1	0
chr6:67674370-67674371	1	0	0	0	0	0
chr7:106245739-106245740	0	1	0	0	0	0
chr7:11606520-11606521	0	0	0	1	0	0
chr7:21258662-21258663	0	0	0	0	1	0
chr7:22816972-22816973	0	0	0	0	1	0
chr8:19682634-19682635	1	0	0	0	0	0
chr8:19688945-19688946	0	0	1	0	0	0
chr8:19691648-19691649	1	0	0	0	0	0
chr8:19711374-19711375	1	0	0	0	1	0
chr8:20366977-20366978	0	1	0	0	0	0
chr8:20511928-20511929	0	0	0	1	0	0
chr8:20548572-20548573	0	1	0	1	0	0
chr8:20590760-20590761	0	1	0	1	0	0
chr8:20592703-20592704	0	0	0	1	0	0
chr8:71823229-71823230	1	0	0	0	0	0
chr9:3036482-3036483	0	0	0	0	0	1
chrX:126767352-126767353	0	1	0	0	0	0
chrX:169973021-169973022	0	1	0	0	0	0
chrX:169973121-169973122	0	1	0	1	0	0
chrX:169978999-169979000	0	1	0	0	0	0
chrX:169979068-169979069	0	1	0	1	0	0
chrX:169979078-169979079	0	1	0	1	0	0
chrX:169979170-169979171	0	1	0	1	0	0
chrX:169979204-169979205	0	1	0	1	0	0
chrX:169979253-169979254	0	1	0	1	0	0
chrX:169979278-169979279	0	1	0	1	0	0
chrX:169979281-169979282	0	1	0	1	0	0
chrX:169979293-169979294	0	1	0	1	0	0
chrX:169979300-169979301	0	1	0	1	0	0
chrX:169979321-169979322	0	1	0	1	0	0
chrX:169979324-169979325	0	1	0	1	0	0
chrX:169979328-169979329	0	1	0	1	0	0
chrX:169979334-169979335	0	1	0	1	0	0
chrX:169979338-169979339	0	1	0	1	0	0
chrX:169979377-169979378	0	0	0	1	0	0
chrX:169979383-169979384	0	1	0	0	0	0
chrX:169979408-169979409	0	0	0	1	0	0
chrX:169979414-169979415	0	0	0	1	0	0
chrX:169981126-169981127	0	1	0	0	0	0
chrX:169981233-169981234	0	1	0	0	0	1
chrX:170005333-170005334	0	0	0	1	0	0
chrX:170005357-170005358	0	0	0	1	0	0
chrX:170005372-170005373	0	0	0	1	0	0
chrX:170735578-170735579	1	0	0	0	0	0
chrX:170736849-170736850	1	0	0	0	1	0
chrX:5367675-5367676	0	0	0	1	0	0
chrY:90739663-90739664	1	0	1	0	0	0
chrY:90740540-90740541	0	0	0	1	0	0
chrY:90740548-90740549	0	0	0	1	0	0
chrY:90744832-90744833	0	0	0	0	1	0
chrY:90799327-90799328	0	1	0	0	0	0
chrY:90799332-90799333	0	1	0	0	0	0
chrY:90799354-90799355	0	0	0	1	0	0
chrY:90799391-90799392	0	1	0	1	0	0
chrY:90799436-90799437	0	0	0	1	0	0
chrY:90800715-90800716	0	1	0	1	0	0
chrY:90800756-90800757	0	1	0	1	0	0
chrY:90800777-90800778	0	1	0	1	0	0
chrY:90803613-90803614	0	1	0	0	0	0
chrY:90803629-90803630	0	1	0	1	0	0
chrY:90803650-90803651	0	1	0	1	0	0
chrY:90803695-90803696	0	1	0	1	0	0
chrY:90805139-90805140	0	1	0	0	0	0
chrY:90805164-90805165	0	1	0	0	0	0
chrY:90805180-90805181	0	1	0	0	0	0
chrY:90805201-90805202	0	1	0	1	0	0
chrY:90805749-90805750	0	0	0	1	0	0
chrY:90805892-90805893	0	0	0	1	1	0
chrY:90805901-90805902	0	0	0	1	0	0
chrY:90807747-90807748	0	1	0	1	0	0
chrY:90807769-90807770	0	1	0	1	0	0
chrY:90807785-90807786	0	1	0	1	0	0
chrY:90807806-90807807	0	1	0	1	0	0
chrY:90807851-90807852	0	1	0	1	0	0
chrY:90808435-90808436	0	1	0	1	0	0
chrY:90808578-90808579	0	1	0	1	0	0
chrY:90808587-90808588	0	1	0	1	0	0
chrY:90808837-90808838	0	1	0	1	0	0
chrY:90808869-90808870	0	1	0	1	0	0
chrY:90808877-90808878	0	1	0	0	0	1
